Link,Mobile Name,Price,Rating,Comments,Seller Name,Positive Seller Ratings,Ship on Time,Chat Response Rate
https://www.daraz.pk/products/y22-4gb-64gb-i374317625-s1855833092.html?search=1,Vivo Y22 RAM 4GB ROM 64GB,"Rs. 70,000",,[],Sid Sam Communication Khanewal,93%,92%,98%
https://www.daraz.pk/products/50a-4gb-64gb-5000mah-i423740967-s2007149792.html?search=1,Realme Narzo 50A Prime || 4GB Ram 64GB Rom || 5000mAh Battery,"Rs. 39,999",,[],MOBILE INN 1655541586,91%,74%,98%
https://www.daraz.pk/products/6gb-9-gb-128-50mp-33w-1-i274093182-s1487423572.html?search=1,Realme 9i 6GB + 128GB Snapdragon 680 Camera 50mp + 33W Fast Charging Box Pack 1 Year Warranty,"Rs. 75,000",5.0,"['Seller rating 5 star..', 'original phone, completely pin packed and new, phone has same imie numbers as printed on box, seller is very cooperative, reply to queries on time. Trusted seller, inshaAllah will buy again.']",Faizzy Tech,93%,100%,Not enough data
https://www.daraz.pk/products/y22-4gb-64gb-5000mah-i403134373-s1944989458.html?search=1,Vivo Y22 || 4GB Ram 64GB Rom || 5000mAh Battery,"Rs. 64,999",,[],MOBILE INN 1655541586,91%,74%,98%
https://www.daraz.pk/products/tecno-pova-5-pro-5g-256gb-rom-8gb-ram-5000mah-mega-battery-pta-approevd-official-brand-warranty-i436995460-s2101833767.html?search=1,Tecno POVA 5 Pro 5G 256GB ROM + 8GB RAM 5000mAh Mega Battery Pta Approevd Official Brand Warranty,"Rs. 57,599",,[],TECNO MOBILE,89%,90%,42%
https://www.daraz.pk/products/z-5-5g-12gb-512gb-50mp-4400mah-i432620252-s2065371939.html?search=1,"Samsung Galaxy Z Fold 5 (5G) , 12GB RAM 512GB ROM , 50MP Main Camera , Fingerprint , 4400mAh Fast Wireless Charging","Rs. 605,999",,[],Mobile Dot,88%,60%,59%
https://www.daraz.pk/products/12-6-gb-128-gb-8-mp-13-mp-5000-mah-i292124430-s1570474879.html?search=1,Infinix Hot 12 RAM 6 GB ROM 128 GB Camera Front 8 MP Back 13 MP Battery 5000 MAH,"Rs. 48,000",5.0,['very nice product and delivered on prefect time .thanks to atta communication..khnewal'],Atta Communication Khanewal,94%,100%,100%
https://www.daraz.pk/products/vivo-y36-8gb-ram-128gb-rom-50-2-mp-rear-camera-5000mah-battery-i426929362-s2026252148.html?search=1,vivo Y36 - 8GB RAM - 128GB ROM - 50 + 2 MP Rear Camera - 5000mAh Battery,"Rs. 64,999",,[],Vivo,92%,32%,82%
https://www.daraz.pk/products/10-8-gb-128-gb-32-mp-50-mp-5000-mah-i430741674-s2054568767.html?search=1,Tecno Spark 10 Pro RAM 8 GB ROM 128 GB front Camera 32 MP Back Camera 50 MP Battery Type5000 mAh,"Rs. 39,990",5.0,"['today i received Tecno spark 10 pro what a amazing cell phone and selfie expert', '😊😊😊😊 thank you so much❤❤❤', '', '', '', '']",Atta Communication Khanewal,94%,100%,100%
https://www.daraz.pk/products/4gb-c30-64gb-4-i430547208-s2053281521.html?search=1,"Realme C30 - 6.5"" Inch Display - 3GB RAM - 32GB ROM","Rs. 22,799",,[],Mobile Arena (Karachi),89%,46%,91%
https://www.daraz.pk/products/12-6gb-5gb-128gb-33w-5000-mah-i312905287-s1659933380.html?search=1,"Infinix Note 12 6GB+5GB Extended RAM 128GB ROOM Fast Charging 33W Li-Po 5000 mAh, non-removable AMOLED Display","Rs. 51,980",5.0,"['Received well condition and packing safe. Result checking a few days but now better. Thanks', 'Good original packaging phone', 'good seller recommend']",Atta Communication Khanewal,94%,100%,100%
https://www.daraz.pk/products/4gb-8c-128gb-ips-lcd-t606-4-mah-i275802889-s1490344965.html?search=1,Tecno Spark 8C 4GB Ram 128GB Rom 6.6''IPS LCD Capacitive Touchscreen Unisoc T606 Processor 5000mAh Battery,"Rs. 39,500",5.0,"['Mobile was received on time and was delivered as it was commited by agent. Thanks', 'good']",AHM Mobile,94%,90%,100%
https://www.daraz.pk/products/tecno-camon-20-pro-667-inch-display-8gb-ram-256gb-rom-i429968792-s2065367189.html?search=1,"Tecno Camon 20 Pro - 6.67"" Inch Display - 8GB RAM - 256GB ROM","Rs. 61,899",,[],New All In One,78%,95%,45%
https://www.daraz.pk/products/y02-t-4-gb-64-gb-5-mp-8-mp-5000-mah-i427605509-s2031629224.html?search=1,Vivo Y02 T RAM 4 GB ROM 64 GB Front Camera 5 MP Back Camera 8 MP Battery Type 5000 mAh,"Rs. 39,890",,[],Atta Communication Khanewal,94%,100%,100%
https://www.daraz.pk/products/6gb-a14-128gb-66-pls-lcd-5000mah-i433801587-s2081512748.html?search=1,Samsung A14 - 6GB RAM - 128GB ROM - 6.6 Inches Display - PLS LCD - Dual SIM - 5000mAh Battery,"Rs. 58,299",,[],Mercato trading,91%,87%,100%
https://www.daraz.pk/products/infinix-smart-7-hd-66-inch-display-2gb-ram-64gb-rom-i422514574-s1998977011.html?search=1,"Infinix Smart 7 HD - 6.6"" Inch Display - 2GB RAM - 64GB ROM","Rs. 21,490",4.6,"['Bro mobile heatup ho raha jis waja s battry drop jaldi ho jati r speaker m b mela', 'Product is upto the mark, new and impressive. Its been delivered in a committed time. Many thanks team', 'nice👍🏻', 'MashaAllah thanks u daraz I appreciate', 'Original mobile hai thanks', '', '', '', '']",Shop-Tech (Karachi),85%,79%,Not enough data
https://www.daraz.pk/products/samsung-galaxy-s23-ultra-12gb-ram-512gb-rom-one-year-official-warranty-i425139637-s2013337953.html?search=1,Samsung Galaxy S23 Ultra || 12GB Ram 512GB Rom || One Year Official Warranty,"Rs. 569,999",,[],MOBILE INN 1655541586,91%,74%,98%
https://www.daraz.pk/products/tecno-pop-5-232-i266611266-s1482175804.html?search=1,Tecno POP 5 (2+32),"Rs. 24,999",3.7,"['Signel issue hay sim say call dial nahi hoti restart karna parta hy', 'mobile acha nhi hai chrging nhi krta bettery khrb hai']",Daraz,92%,100%,
https://www.daraz.pk/products/y02s-3gb-32gb-i371474476-s1838364169.html?search=1,Vivo Y02s RAM 3GB ROM 32GB,"Rs. 40,990",,[],Atta Communication Khanewal,94%,100%,100%
https://www.daraz.pk/products/a13-fhd-50mp-8mp-4gb-6466-gb-128-mah-i289287261-s1555250752.html?search=1,"Samsung Galaxy A13 - 6.6"" FHD+ Display - 50MP Main Camera - 8MP Selfie Camera - 4GB RAM - 64/128GB ROM - 5000MAH Battery","Rs. 44,499",,[],KE traders,88%,80%,100%
https://www.daraz.pk/products/infinix-note-12-67-inch-display-8gbram-i309898503-s1647324530.html?search=1,"Infinix Note 12 - 6.7"" Inch Display - 8GBRAM","Rs. 53,999",4.5,"['very very nice product. I like it and recommend it to all users', ""received on 13 sep but the device was activated on 9 September that's not good, condition was good no scratch, timely delivered."", 'well Packed, Delivered before time Seller Recommended.Thanks', 'thanx sir jo chez order ki wohi mili', 'thanks daraz good project received good thing', 'good', 'Very good seller', ""mobile set is Very Good with features it's look and shape is very nice"", ""received on 13 sep but the device was activated on 9 September that's not good, condition was good no scratch, timely delivered."", 'ordered golden but received blue color', '']",Shop-Tech (Karachi),85%,79%,Not enough data
https://www.daraz.pk/products/y27-6-gb-128-gb-8-mp-50-mp-5000-mah-44w-i430799396-s2054824038.html?search=1,"Vivo Y27 RAM 6 GB ROM 128 GB Front Camera 8 MP Back Camera 50 MP Battery Capacity (Li-Po Non removable), 5000 mAh - Fast battery 44W","Rs. 72,000",,[],Atta Communication Khanewal,94%,100%,100%
https://www.daraz.pk/products/4gb-c25s-128gb-g85-48mp-pta-i242915107-s1462163422.html?search=1,Realme C25s 4GB 128GB Helio G85 - 6000mah Battery - 48MP Camera PTA Approved Box Pack,"Rs. 46,989",5.0,[],Faizzy Tech,93%,100%,Not enough data
https://www.daraz.pk/products/realme-c11-2021-2gb-ram-32gb-rom-5000mah-battery-charging-10w-i220763739-s1434694133.html?search=1,Realme C11 (2021) || 2GB Ram 32GB Rom || 5000mAh - Battery charging 10W,"Rs. 20,500",,[],BIN SAEED 1593461556,91%,100%,Not enough data
https://www.daraz.pk/products/c25y-4-gb-64-gb-50-mp-5000-mah-i272871399-s1485965335.html?search=1,"Realme C25Y , 4 GB RAM 64 GB ROM , 50 MP Main Camera , Fingerprint , 5000 mAh Fast Charging","Rs. 42,000",5.0,"['mobile received in just 3 days. ordered metal gray but received in blue colour but satisfied with colour and original mobile . PTA approved and pin pack. trusted and responsive seller. but price bit high from another stores.', 'It is great experience to have a shopping with Daraz. Great phone . Original as describe. 2 days delivwry time that is much better. Overall it is a good product.', 'Deliver before expectations. Mai is seller ko recommend krnga', 'Deliver before expectations. Mai is seller ko recommend krnga', 'Very fast n safe delivery good product...', 'fast service good condition']",Sid Sam Communication Khanewal,93%,92%,98%
https://www.daraz.pk/products/3gb-y02-32gb-8-mp-5000-mah-i432687826-s2075770114.html?search=1,"Vivo Y02 , 3GB RAM 32GB ROM , Back Camera 8 MP , Fingersensor , 5000 mAh Battery","Rs. 35,999",,[],AL HAMDULILLAH TRADING,94%,28%,73%
https://www.daraz.pk/products/9-8-gb-128-16-mp-50-mp-8-mp-2-mp-i285328161-s1539294888.html?search=1,Realme 9 Pro plus RAM 8 GB ROM 128 Battery 4500 Mah Camera front 16 MP Back 50 MP +8 MP +2 MP,"Rs. 104,999",5.0,[],Sid Sam Communication Khanewal,93%,92%,98%
https://www.daraz.pk/products/3gb-a04-32gb-50mp-5000mah-i431266912-s2056677968.html?search=1,"Samsung A04 , 3GB RAM 32GB ROM , 50MP Main Camera , 5000mAh Battery Capacity","Rs. 33,999",,[],ALHAMDULILLAH TRADING CO,94%,63%,74%
https://www.daraz.pk/products/infinix-note-30-ram-8gb8gb-256gb-storage-678-fhd-5000mah-mega-battery-pta-approved-official-warranty-i429046135-s2098320869.html?search=1,"Infinix Note 30 RAM 8GB+8GB & 256GB Storage 6.78"" FHD 5000mAh Mega Battery Pta Approved Official Warranty","Rs. 48,499",,[],HEAVEN TECHNOLOGIES,86%,76%,43%
https://www.daraz.pk/products/18p-8gb-128gb-ips-lcs-68-33w-i258975874-s1476206004.html?search=1,Tecno Camon 18p Ram 8GB Rom 128GB + iPS LCS 6.8 Battery 5000mah with 33W Fast Charging BOX PACK,"Rs. 65,000",5.0,"['I order this Mobile Techno Camon 18P, It is amazing mobile and Camera result is Excellent', 'Very helpfull and honest seller arranged me a mobile from out of stock. Sent me a pin pack mobile with full warranty non active. Thank you seller and daraz.', 'its nice 👍👌', 'Very Awesome Mobile And Nice Packaging I Am Very Impressed By Packaging', 'V Good Product I Am Writing This Review On This Mobile', 'it was good quality mobile']",AK Zone.,95%,91%,100%
https://www.daraz.pk/products/infinix-smart-7-66-inch-display-4gb3gb-extended-ram-64gb-rom-i403055807-s1944758667.html?search=1,"Infinix Smart 7 - 6.6"" Inch Display - 4GB+3GB Extended RAM - 64GB ROM","Rs. 25,750",3.9,"['Mobile PTA not approve ab kia hoga ab return Karen Behtreen har chez ok mobile bhi behtreen he thanks seller for great experience with you', 'phr se wohi kam Kuch sharam karo daraz walo aisa kam karte ho Allah se daro ye naw tarika dhonda hai logo ko lut ne ka dikhaty kiya ho or bejhty kiya ho mene infinix smart 7 mobile order kiya js ki price 3030 rope hai or ap daraz walo ne Vigo tel ka loca', 'Overall product and service was found setisfactory', 'phr se wohi kam Kuch sharam karo daraz walo aisa kam karte ho Allah se daro ye naw tarika dhonda hai logo ko lut ne ka dikhaty kiya ho or bejhty kiya ho mene infinix smart 7 mobile order kiya js ki price 3030 rope hai or ap daraz walo ne Vigo tel ka loca', 'the seller is fraud mobile 3 months bd PTA se block hogaya h. mje Non PTA mobile sell krdiya or jb maine complaint ki to batch approve kr k de diya. abi maine daraz pr complaint ki hai. PTA k paise le kr NonPTA Phone sell krhe ho. sharam ani chiye Fraud seller.', '', '', '']",Shop-Tech (Karachi),85%,79%,Not enough data
https://www.daraz.pk/products/z-4-67-8gb-512gb-i365633002-s1922278529.html?search=1,"Samsung Galaxy Z Flip 4 - 6.7"" Inch Foldable Display - 8GB RAM - 512GB ROM","Rs. 244,999",3.0,"['It was a wonderful experience shopping from you. The phone is genuine pta approved and delivered right on time. thanks again', 'purchased a brand new Z Flip 4 phone which came out to be repacked and defective. highly not recommended. avoid and shop from some other vendor.']",Shop-Tech (Karachi),85%,79%,Not enough data
https://www.daraz.pk/products/4gb-a04-64gb-50mp-5000mah-i425671446-s2018704312.html?search=1,"Samsung A04 , 4GB RAM 64GB ROM , 50MP Main Camera , 5000mAh Battery Capacity","Rs. 30,299",,[],Bint e Saeed,87%,18%,96%
https://www.daraz.pk/products/8gb-y36-128gb-50-mp-5000mah-i432508699-s2064807132.html?search=1,"Vivo Y36 , 8GB RAM 128GB ROM , Back Camera 50 MP , Fingerprint , 5000mAh Bttery","Rs. 69,999",,[],ALHAMDULILLAH TRADING CO,94%,63%,74%
https://www.daraz.pk/products/vivo-y85-64gb-storage-4gb-ram-snapdragon-450-3260-mah-dual-sim-13mp-camera-pta-approved-mobile-phone-i413077021-s1970710485.html?search=1,Vivo Y85 | 64GB Storage | 4GB RAM | Snapdragon 450 | 3260 mAh | Dual Sim | 13MP Camera | PTA Approved | Mobile Phone,"Rs. 19,500",,[],subhan zeeshan,,,
https://www.daraz.pk/products/a14-4gb-1-000-gb-128-pls-lcd-15-i425334112-s2014659044.html?search=1,Samsung Galaxy A14 || 4GB Ram 128GB Rom || 6.8 PLS LCD Capacitive Touchscreen || 5000 mAh - Fast charging 15W,"Rs. 63,999",,[],BIN SAEED 1593461556,91%,100%,Not enough data
https://www.daraz.pk/products/8gb-8gb-y35-128gb-50mp-5000mah-44w-i411087501-s1964653042.html?search=1,Vivo Y35 8GB + 8GB Extended RAM - 128GB ROM - 50MP Triple Rear Camera - 5000mAh Battery - 44W Charger,"Rs. 79,999",,[],AHM Mobile,94%,90%,100%
https://www.daraz.pk/products/4gb-a04-64gb-50mp-5000mah-i431273453-s2056688170.html?search=1,"Samsung A04 , 4GB RAM 64GB ROM , 50MP Main Camera , 5000mAh Battery Capacity","Rs. 33,040",,[],ALHAMDULILLAH TRADING CO,94%,63%,74%
https://www.daraz.pk/products/tecno-spark-10-pro-68-inch-display-8gb-ram-128gb-rom-i430920549-s2065359760.html?search=1,"Tecno Spark 10 Pro - 6.8"" Inch Display - 8GB RAM - 128GB ROM","Rs. 39,490",5.0,"['“I highly recommend this Marchant.” “Their customer service is second to none.” “The product quality is consistently outstanding, exceeding my expectations every time.” “I was completely impressed with their professionalism and customer service.” The Product Mobile which I have booked from Draz is same as on draz plate Farm with quick delivery. Thanks Draz Thanks Marchant']",New All In One,78%,95%,45%
https://www.daraz.pk/products/8c-2gb-64gb-66-ips-90hz-10-i315590096-s1670766369.html?search=1,Tecno Spark 8C || 2GB Ram 64GB Rom || 6.6 Inches IPS Display 90Hz || 5000 mAh - Battery charging 10W,"Rs. 37,999",,[],BIN SAEED 1593461556,91%,100%,Not enough data
https://www.daraz.pk/products/4gb-a14-128gb-5000mah-i422930859-s2001863994.html?search=1,Samsung A14 - 4GB RAM - 128GB ROM - 5000mAh Battery,"Rs. 53,999",,[],Kashif Electronics (Karachi),89%,93%,100%
https://www.daraz.pk/products/y21-4gb-1gb-64gb-18-mah-18w-1-i254841795-s1471219530.html?search=1,Vivo Y21 Ram 4Gb+1GB Rom 64GB Battery 5000mah 18W Fast Charge Box Pack 1 Year Warranty,"Rs. 44,000",5.0,"['Great phone in this price. Fast charging and smooth touch. Good to have this.', 'very good excellent bohat he piara mobile 📲 hay or zaberdast', 'awesome mibile', 'awesome mibile', 'Gud quality but rate Upar hé markeet se ye bat he..', 'Very good product. thank you Daraz', 'Same as shown in picture. Recommended', 'good', 'GOOD EXPERIENCE 👍', 'Good quality product', 'Good quality product', '100 percent orignal product', '100% zabardast', 'good', '', '', '', '']",Faizzy Tech,93%,100%,Not enough data
https://www.daraz.pk/products/4gb-c21-64gb-5000-mah-i427047349-s2026982265.html?search=1,REALME C21 Y - 4GB RAM 64GB ROM - 5000 mAh Battery,"Rs. 32,999",,[],H.T Communication,96%,73%,100%
https://www.daraz.pk/products/4gb-c33-128gb-50mp-5000mah-i430534866-s2053265726.html?search=1,"Realme C33 , 4GB RAM 128GB ROM , 50MP Main Camera , Finger Sensor , 5000mAh Battery Capacity","Rs. 45,999",,[],Mobile Arena (Karachi),89%,46%,91%
https://www.daraz.pk/products/7-hd-2gb-64gb-66-ips-lcd-5000mah-i433412177-s2080689039.html?search=1,Infinix Smart 7 HD - 2GB RAM 64GB ROM - 6.6 Inches Display - IPS LCD - 5000mAh Battery,"Rs. 22,799",,[],KE traders,88%,80%,100%
https://www.daraz.pk/products/7-ace-4gb-3gb-64gb-66-hd-ace-5000-mah-10w-i425324895-s2014654037.html?search=1,Infinix Smart 7 || 4GB + 3GB Ram 64GB Rom || 6.6 Inches HD + Sunlight Display || 5000 mAh- Fast charging 10W,"Rs. 35,499",,[],BIN SAEED 1593461556,91%,100%,Not enough data
https://www.daraz.pk/products/tecno-camon-19-neo-i397420803-s1923989643.html?search=1,Tecno Camon 19 Neo,"Rs. 62,999",,[],Mehfooz Mobiles,,,
https://www.daraz.pk/products/vivo-y73-644-inch-display-8gb-ram-128gb-rom-i419960076-s1985002735.html?search=1,"Vivo Y73 - 6.44"" Inch Display - 8GB RAM - 128GB ROM","Rs. 86,499",,[],Shop-Tech (Karachi),85%,79%,Not enough data
https://www.daraz.pk/products/a8-x200-wifi-4gb-64gb-8mp-1-mah-i431242521-s2060548792.html?search=1,Samsung Galaxy Tab A8 X200 WIFI - 10.5 inches - 4GB RAM 64GB ROM - 8MP Main Camera - 7040mAh Battery,"Rs. 64,999",,[],ALHAMDULILLAH TRADING CO,94%,63%,74%
https://www.daraz.pk/products/y55-8gb-4gb-128gb-50mp-sdm-644-44w-i332237954-s1723201436.html?search=1,"Vivo Y55 8GB+4GB Extended RAM 128GB ROM 6.44"" AMOLED Display 50MP Triple Rear Camera SDM 680 Processor 44W Flash Charge","Rs. 58,000",,[],AHM Mobiles,90%,90%,94%
https://www.daraz.pk/products/11-4gb-64gb-g35-13mp-6000mah-i268000272-s1482665678.html?search=1,Infinix Hot 11 Play - 4GB Ram 64GB Rom Helio G35 Processor Camera 13MP Battery 6000mah,"Rs. 24,999",5.0,['thanks 👍 very fast delivery received with seal pack recommend'],Jumbo tech 1619438372,99%,100%,100%
https://www.daraz.pk/products/30-8-gb-256-gb-32-mp-2-mp-2-mp-2-mp-108-mah-i428819936-s2046485136.html?search=1,"Infinix Note 30 Pro RAM 8 GB ROM 256 GB Front Camera 32 MP Back Camera 108 MP + 2 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 70,000",,[],Ali Communication (Khanewal),96%,93%,99%
https://www.daraz.pk/products/infinix-note-12-8gb-ram-128gb-rom-mediatek-helio-g96-processor-50mp-triple-camera-67-fhd-amoled-display-i312984260-s1660107667.html?search=1,"Infinix NOTE 12 - 8GB RAM 128GB ROM - Mediatek Helio G96 Processor - 50MP Triple Camera - 6.7"" FHD+ AMOLED Display","Rs. 58,660",,[],ALSAEED COMMUNICATION KHANEWAL,95%,70%,97%
https://www.daraz.pk/products/4gb-a14-128gb-fhd-50mp-66-mah-i424665556-s2011363239.html?search=1,Samsung Galaxy A14 - 4GB RAM 128GB ROM 6.6 Inch fHD+ Display 50MP Rear Camera 5000 mAh Battery,"Rs. 62,030",,[],AHM Mobiles,90%,90%,94%
https://www.daraz.pk/products/z-5-8gb-512gb-12mp-3700mah-i431067748-s2056163029.html?search=1,"Samsung Galaxy Z Flip 5 , 8GB RAM 512GB ROM , 12MP Main Camera , Fingerprint , 3700mAh Wireless Charging","Rs. 368,999",5.0,[],ALHAMDULILLAH TRADING CO,94%,63%,74%
https://www.daraz.pk/products/3gb-y02-32gb-5000-mah-i426753781-s2025699496.html?search=1,VIVO Y02 - 3GB RAM - 32GB ROM - 5000 mAh Battery,"Rs. 30,499",,[],H.T Communication,96%,73%,100%
https://www.daraz.pk/products/3gb-y02-32gb-651-ips-lcd-5000mah-i433798808-s2081514720.html?search=1,Vivo Y02 - 3GB RAM 32GB ROM - 6.51 inches - IPS LCD Display - Dual SIM - 5000mAh Battery,"Rs. 29,999",,[],Mercato trading,91%,87%,100%
https://www.daraz.pk/products/samsung-galaxy-a24-8gb-128gb-rom-pta-approved-official-brand-warranty-i424076978-s2011170717.html?search=1,Samsung Galaxy A24 8GB-128GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 76,499",,[],Samsung Official,84%,18%,Not enough data
https://www.daraz.pk/products/y27-8gb-128g-50-mp-5000mah-i432690235-s2067693303.html?search=1,"Vivo Y27 , 8GB RAM 128G ROM , Back Camera 50 MP , Fingersensor , 5000mAh Battery","Rs. 76,999",,[],AL HAMDULILLAH TRADING,94%,28%,73%
https://www.daraz.pk/products/samsung-galaxy-a04s-65-inch-display-4gb-ram-i425228046-s2014039688.html?search=1,"Samsung Galaxy A04s - 6.5"" Inch Display - 4GB RAM","Rs. 37,975",4.7,"['everything is ok but delivery after given date 📅', 'Genuine with safe packing']",Shop-Tech (Karachi),85%,79%,Not enough data
https://www.daraz.pk/products/z-5-8gb-512gb-12mp-3700mah-i432607461-s2065328225.html?search=1,"Samsung Galaxy Z Flip 5 , 8GB RAM 512GB ROM , 12MP Main Camera , Fingerprint , 3700mAh Wireless Charging","Rs. 368,999",,[],Mobile Dot,88%,60%,59%
https://www.daraz.pk/products/11-4gb-64gb-6000mah-g35-13mp-4g-lte-i257010850-s1473796882.html?search=1,Infinix Hot 11 Play 4GB 64GB Battery 6000mah Helio G35 + Camera 13MP 4G LTE Box Pack,"Rs. 30,000",5.0,"['nice packaging and seller faizzy tech was very good and humble person.really recommended', 'Amzaing phone received in record time with draz discount.. Highly impressive and satisfied with seller and draz.. 1 year brand warranty.', 'my first experience in daraz app mind blowing service hats off date say Pehlay he agaya or seller bhi bohat friendly thay golden colour available nhi tha unho nay arrange Kar k dia thanks to him highly recommended', 'same as shown pictures original Good packing Good service thanks Daraz and seller', 'nice packaging and seller faizzy tech was very good and humble person.really recommended', 'Overall good experience and timely delivery.. thanks.. Recommended Vendor!!', 'this my 2nd order on daraz on mobile phone I am happy because my order delivered on time and safe.', 'recommended product', 'Excellent phone ...', '', '', '']",Faizzy Tech,93%,100%,Not enough data
https://www.daraz.pk/products/z-4-5g-8gb-256gb-67-3700-mah-25w-15w-i432936066-s2070402106.html?search=1,"Samsung Galaxy Z Flip 4 ( 5G ) 8GB Ram 256GB Rom, Display Size 6.7 Inches,Battery Capacity 3700 mAh, Super-Fast charging 25W Wireless charging 15W","Rs. 342,999",,[],AL HAMDULILLAH TRADING,94%,28%,73%
https://www.daraz.pk/products/4gb-4gb-64gb-2023-mah-i421943388-s1995952695.html?search=1,Tecno Spark Go 2023 || 4GB Ram 64GB Rom || 5000mAh Battery,"Rs. 26,499",4.8,"[""right now I can't tell and I don't know but packaging dekh kar lag raha ha repack ha"", 'excellent. same as shown . timely delivery and best mobile at cheap price.', 'Love you Daraz seler Mashallah new ha daba pack or bohat he acha ha Daraz khush kr deya ❤️❤️🥰😍', 'Orignal as per sealed with PTA orignaly.', ""right now I can't tell and I don't know but packaging dekh kar lag raha ha repack ha"", '', '', '', '', '', '']",MOBILE INN 1655541586,91%,74%,98%
https://www.daraz.pk/products/12-6-gb-128-gb-8-mp-13-mp-2-mp-ai-5000-mah-i395913906-s1921105487.html?search=1,"Infinix Hot 12 RAM 6 GB ROM 128 GB Front Camera 8 MP Back Camera 13 MP + 2 MP + AI Lens Battery Type (Li-Po Non removable), 5000 mAh","Rs. 47,990",,[],S 4 SHOPPING,93%,37%,100%
https://www.daraz.pk/products/4gb-4gb-10c-128gb-5000-mah-i427963886-s2034204639.html?search=1,TECNO SPARK 10C - 4GB+4GB RAM - 128GB ROM - 5000 mAh Battery,"Rs. 31,499",,[],H.T Communication,96%,73%,100%
https://www.daraz.pk/products/3gb-a04-32gb-50mp-5000mah-i432931339-s2070395801.html?search=1,"Samsung A04 , 3GB RAM 32GB ROM , 50MP Main Camera , 5000mAh Battery Capacity","Rs. 37,499",,[],AL HAMDULILLAH TRADING,94%,28%,73%
https://www.daraz.pk/products/realme-9-pro-plus-ram-8-gb-rom-128-battery-4500-mah-camera-front-16-mp-back-50-mp-8-mp-2-mp-i285306839-s1539238787.html?search=1,Realme 9 Pro plus RAM 8 GB ROM 128 Battery 4500 Mah Camera front 16 MP Back 50 MP +8 MP +2 MP,"Rs. 104,999",,[],ALSAEED COMMUNICATION KHANEWAL,95%,70%,97%
https://www.daraz.pk/products/6-2gb-32gb-4-ips-lcd-sc9863a-28nm-66-mah-i289620652-s1676024907.html?search=1,Infinix SMART 6 HD 2GB RAM 32GB ROM 6.6''IPS LCD Capacitive Touchscreen Unisoc SC9863A (28nm) Processor 5000mAh Battery,"Rs. 33,900",5.0,[],AHM Mobile,94%,90%,100%
https://www.daraz.pk/products/9-wach-8gb-8gb-128-60-i300960108-s1629214404.html?search=1,"Realme 9 pro Plus || 8GB Ram 128GB Rom || 6.4 Inches Super AMOLED Display || 4500 mAh - Fast charging 60W,","Rs. 98,999",,[],BIN SAEED 1593461556,91%,100%,Not enough data
https://www.daraz.pk/products/y73-8-gb-128-gb-16-mp-64-mp-2-mp-2-mp-li-po-4000-mah-i416612964-s1977992566.html?search=1,"Vivo Y73 RAM 8 GB ROM 128 GB Front Camera 16 MP Back Camera 64 MP + 2 MP + 2 MP Battery Type Li-Po 4000 mAh, non-removable","Rs. 90,000",,[],Sid Sam Communication Khanewal,93%,92%,98%
https://www.daraz.pk/products/20-8gb-256gb-667-120hz-5000mah-33w-33mp-ulta-ai-64mp-2mp-bokeh-ai-i431243414-s2090004642.html?search=1,"Tecno Camon 20 Pro - 8GB RAM 256GB ROM - 6.67"" AMOLED True Color Screen - 120Hz Refresh Rate - 5000mAh Battery - 33W Super Charge - Fingerprint On Display - 33MP Ulta Clear AI Shining Selfie Camera - 64MP + 2MP Bokeh + AI CAM + Quad Flash","Rs. 85,999",,[],Kashif Electronics (Karachi),89%,93%,100%
https://www.daraz.pk/products/19-6-gb-128-gb-32-mp-48-mp-2-mp-i334128594-s1730161525.html?search=1,Tecno Camon 19 Neo RAM 6 GB ROM 128 GB Camera Front 32 MP Back 48 MP +2 MP,"Rs. 45,000",4.7,"['Excellent Service. Highly recommended Seller. Product arrived before the due date and in just 2 days. Packaging was safe and durable. Merchant was highly cooperative 👍', '', ""Box doesn't contain hands-free, rather I've seen this in the review of the same model. This is not fair. The Color was not delivered which I selected."", 'Best Experience with atta communication', 'good', ""Box doesn't contain hands-free, rather I've seen this in the review of the same model. This is not fair. The Color was not delivered which I selected."", 'good quality', '', '', '', '', '', '', '', '']",Atta Communication Khanewal,94%,100%,100%
https://www.daraz.pk/products/tecno-camon-19-neo-68-inch-display-6gb-ram-128gb-rom-i388606245-s1927605943.html?search=1,"Tecno Camon 19 Neo - 6.8"" Inch Display - 6GB RAM - 128GB ROM","Rs. 39,999",4.0,"['#ReviewWorldCup #RWC Original product but only 2 months warranty was remaining when e-warranty was checked', '']",New All In One,78%,95%,45%
https://www.daraz.pk/products/s22-5g-108-mp-40-mp-12-gb-256-gb-5000-mah-i281193021-s1512320066.html?search=1,Samsung Galaxy S22 Ultra 5G | Main Camera 108 MP | Front Camera 40 MP | RAM 12 GB | ROM 256 GB | Battery 5000 mAh,"Rs. 440,000",,[],Ali Communication (Khanewal),96%,93%,99%
